SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,E,540147,EQUITY,0,SHASHIJIT,1,Shashijit Infraprojects,,,,1,NA,ES,B,Shashijit Infraprojects L
BSE,E,540153,EQUITY,0,ENDURANCE,1,Endurance Technologies,,,,5,NA,ES,A,Endurance Technologies Li
BSE,E,540154,EQUITY,0,IDFSENSEXE,1,IDFC Sensex ETF,,,,1,NA,ETF,A,Bandhan Mutual Fund
BSE,E,540173,EQUITY,0,PNBHOUSING,1,PNB Housing Finance,,,,5,NA,ES,A,PNB Housing Finance Limit
BSE,E,540180,EQUITY,0,VBL,1,Varun Beverages,,,,5,NA,ES,A,Varun Beverages Limited
BSE,E,540203,EQUITY,0,SFL,1,Sheela Foam,,,,5,NA,ES,A,Sheela Foam Limited
BSE,E,540205,EQUITY,0,AVL,1,Aditya Vision,,,,5,NA,ES,A,Aditya Vision Limited
BSE,E,540210,EQUITY,0,HEADSUP,1,Heads UP Ventures,,,,1,NA,ES,B,Heads UP Ventures Limited
BSE,E,540212,EQUITY,0,TCIEXP,1,TCI Express,,,,5,NA,ES,B,TCI Express Limited
BSE,E,540222,EQUITY,0,LAURUSLABS,1,Laurus Labs,,,,5,NA,ES,A,Laurus Labs Limited
BSE,E,540252,EQUITY,0,VSL,1,Veeram Securities,,,,1,NA,ES,B,VEERAM SECURITIES LIMITED
BSE,E,540293,EQUITY,0,PRICOLLTD,1,Pricol,,,,5,NA,ES,A,Pricol Limited
BSE,E,540311,EQUITY,0,JITFINFRA,1,JITF Infralogistics,,,,5,NA,ES,B,JITF INFRALOGISTICS LIMIT
BSE,E,540366,EQUITY,0,RADIOCITY,1,Music Broadcast,,,,1,NA,ES,B,Music Broadcast Limited
BSE,E,540376,EQUITY,0,DMART,1,Avenue Supermarts DMart,,,,5,NA,ES,A,Avenue Supermarts Limited
BSE,E,540393,EQUITY,0,SMLT,1,Sarthak Metals,,,,5,NA,ES,B,Sarthak Metals Limited
BSE,E,540395,EQUITY,0,CHEMCRUX,1,Chemcrux Enterprises,,,,5,NA,ES,B,Chemcrux Enterprises Limi
BSE,E,540396,EQUITY,0,MANOMAY,1,Manomay Tex,,,,5,NA,ES,B,Manomay Tex India Limited
BSE,E,540403,EQUITY,0,CLEDUCATE,1,CL Educate - Buyback,,,,1,NA,ES,B,CL Educate Limited
BSE,E,540404,EQUITY,0,PRIMEFRESH,1,Prime Fresh,,,,5,NA,ES,B,PRIME FRESH LIMITED
BSE,E,540425,EQUITY,0,SHANKARA,1,Shankara Building Products,,,,5,NA,ES,B,Shankara Building Product
BSE,E,540497,EQUITY,0,SCHAND,1,S Chand & Company,,,,5,NA,ES,B,S Chand And Company Limit
BSE,E,540519,EQUITY,0,MEERA,1,Meera Industries,,,,1,NA,ES,B,Meera Industries Limited
BSE,E,540530,EQUITY,0,HUDCO,1,HUDCO,,,,5,NA,ES,A,Housing &Urban Developmen
BSE,E,540544,EQUITY,0,PSPPROJECT,1,PSP Projects,,,,5,NA,ES,B,PSP Projects Limited
BSE,E,540575,EQUITY,0,STARCEMENT,1,Star Cement,,,,5,NA,ES,A,Star Cement Limited
BSE,E,540595,EQUITY,0,TEJASNET,1,Tejas Networks,,,,5,NA,ES,A,Tejas Networks Limited
BSE,E,540596,EQUITY,0,ERIS,1,Eris Lifesciences,,,,5,NA,ES,A,Eris Lifesciences Limited
BSE,E,540602,EQUITY,0,GTPL,1,GTPL Hathway,,,,5,NA,ES,B,GTPL Hathway Limited
BSE,E,540611,EQUITY,0,AUBANK,1,AU Small Finance Bank,,,,5,NA,ES,A,AU Small Finance Bank Lim
BSE,E,540612,EQUITY,0,LOWVOLIETF,1,ICICI Pru Nifty 100 Low Vol 30 ETF,,,,1,NA,ETF,B,ICICI Prudential Nifty Lo
BSE,E,540642,EQUITY,0,SALASAR,1,Salasar Techno Engineering,,,,1,NA,ES,B,Salasar Techno Engineerin
BSE,E,540647,EQUITY,0,GANGESSECU,1,Ganges Securities,,,,5,NA,ES,B,Ganges Securities Ltd.
BSE,E,540648,EQUITY,0,PALASHSECU,1,Palash Securities,,,,5,NA,ES,B,Palash Securities Limited
BSE,E,540649,EQUITY,0,AVADHSUGAR,1,Avadh Sugar & Energy,,,,5,NA,ES,B,AVADH SUGAR & ENERGY LIMI
BSE,E,540650,EQUITY,0,MAGADSUGAR,1,Magadh Sugar & Energy,,,,5,NA,ES,B,Magadh Sugar & Energy Lim
BSE,E,540669,EQUITY,0,UTINEXT50,1,UTI Nifty Next 50 ETF,,,,1,NA,ETF,B,UTI Mutual Fund
BSE,E,540673,EQUITY,0,SIS,1,SIS,,,,5,NA,ES,B,SIS LIMITED
BSE,E,540678,EQUITY,0,COCHINSHIP,1,Cochin Shipyard,,,,5,NA,ES,A,Cochin Shipyard Limited
BSE,E,540679,EQUITY,0,SMSLIFE,1,SMS Lifesciences,,,,5,NA,ES,B,SMS Lifesciences India Lt
BSE,E,540680,EQUITY,0,KIOCL,1,KIOCL,,,,5,NA,ES,A,KIOCL Limited
BSE,E,540691,EQUITY,0,ABCAPITAL,1,Aditya Birla Capital,,,,5,NA,ES,A,Aditya Birla Capital Ltd
BSE,E,540692,EQUITY,0,APEX,1,Apex Frozen Foods,,,,5,NA,ES,B,Apex Frozen Foods Limited
BSE,E,540693,EQUITY,0,SHISHIND,1,Shish Industries Limited,,,,1,NA,ES,B,Shish Industries Limited
BSE,E,540699,EQUITY,0,DIXON,1,Dixon Technologies,,,,5,NA,ES,A,Dixon Technologies (India
BSE,E,540700,EQUITY,0,BRNL,1,Bharat Road Network,,,,1,NA,ES,B,Bharat Road Network Limit
BSE,E,540704,EQUITY,0,MATRIMONY,1,Matrimony.com,,,,5,NA,ES,B,Matrimony.com Limited
BSE,E,540710,EQUITY,0,CAPACITE,1,Capacite Infraprojects,,,,5,NA,ES,B,Capacit'e Infraprojects L
BSE,E,540716,EQUITY,0,ICICIGI,1,ICICI Lombard General Insurance,,,,5,NA,ES,A,ICICI Lombard General Ins
BSE,E,540717,EQUITY,0,PQIF,1,Polo Queen Industrial And Fintech,,,,1,NA,ES,B,Polo Queen Industrial and
BSE,E,540719,EQUITY,0,SBILIFE,1,SBI Life Insurance,,,,5,NA,ES,A,SBI Life Insurance Compan
BSE,E,540724,EQUITY,0,DIAMONDYD,1,Prataap Snacks,,,,5,NA,ES,B,Prataap Snacks Limited
BSE,E,540725,EQUITY,0,SHAREINDIA,1,Share India Securities,,,,5,NA,ES,A,Share India Securities Li
BSE,E,540727,EQUITY,0,POOJA,1,Poojawestern Metaliks,,,,1,NA,ES,B,Poojawestern Metaliks Lim
BSE,E,540737,EQUITY,0,SGRL,1,Shree Ganesh Remedies,,,,5,NA,ES,B,Shree Ganesh Remedies Lim
BSE,E,540738,EQUITY,0,STL,1,Shreeji Translogistics,,,,1,NA,ES,B,Shreeji Translogistics Li
BSE,E,540743,EQUITY,0,GODREJAGRO,1,Godrej Agrovet,,,,5,NA,ES,A,Godrej Agrovet Limited
BSE,E,540749,EQUITY,0,MASFIN,1,MAS Financial Services,,,,5,NA,ES,B,MAS Financial Services Li
BSE,E,540750,EQUITY,0,IEX,1,Indian Energy Exchange,,,,5,NA,ES,A,Indian Energy Exchange Li
BSE,E,540755,EQUITY,0,GICRE,1,GIC of India,,,,5,NA,ES,A,General Insurance Corpora
BSE,E,540757,EQUITY,0,SCPL,1,Sheetal Cool Products,,,,5,NA,ES,B,SHEETAL COOL PRODUCTS LIM
BSE,E,540762,EQUITY,0,TIINDIA,1,Tube Investment,,,,5,NA,ES,A,Tube Investments of India
